record,year,month,season,weather,temp,tempfeel,humidity,windspeed,casual_users,registered_users,all_users
1,2011,Jan,winter,Mist,14.110847,18.18125,80.58330000000001,10.749882,331,654,985
2,2011,Jan,winter,Mist,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801
3,2011,Jan,winter,Clear,8.050924,9.47025,43.7273,16.636703,120,1229,1349
4,2011,Jan,winter,Clear,8.200000000000001,10.6061,59.0435,10.739832,108,1454,1562
5,2011,Jan,winter,Mist,8.057402,10.44195,49.8696,11.304642,148,1362,1510
6,2011,Jan,winter,Mist,6.765000000000001,8.1127,53.5833,17.875868,68,891,959
7,2011,Jan,winter,Clear,5.671653,5.80875,43.416700000000006,24.25065,54,768,822
8,2011,Jan,winter,Clear,7.0818069999999995,8.02365,59.954499999999996,20.410009,25,1137,1162
9,2011,Jan,winter,Clear,6.765000000000001,7.544149999999999,47.0417,20.166999999999998,38,1368,1406
10,2011,Jan,winter,Clear,6.59567,9.42065,53.7826,8.478716,54,1367,1421
11,2011,Jan,winter,Mist,9.566653,12.4056,49.875,10.583521,222,1026,1248
12,2011,Jan,winter,Clear,9.498347,11.71085,48.375,12.625010999999999,251,953,1204
13,2011,Jan,winter,Mist,8.883347,11.61665,86.16669999999999,9.833924999999999,9,674,683
14,2011,Jan,winter,Mist,10.728347,12.7525,53.833299999999994,13.125568,83,1844,1927
15,2011,Jan,winter,Clear,7.2775,7.89165,45.7083,23.667214,75,1468,1543
16,2011,Jan,winter,Clear,2.4243464,3.9534800000000003,40,11.52199,93,888,981
17,2011,Jan,winter,Clear,3.9573897000000002,4.941955,43.6522,16.5222,150,836,986
18,2011,Jan,winter,Clear,3.9930433,5.8965,49.173899999999996,10.60811,86,1330,1416
19,2011,Jan,winter,Mist,9.162598000000001,11.7263,61.695699999999995,8.696332,186,1799,1985
20,2011,Jan,winter,Light Precip,8.9175,10.18,86.25,19.68795,34,472,506
21,2011,Jan,winter,Clear,8.057402,10.606300000000001,65.17389999999999,9.739455,123,975,1098
22,2011,Jan,winter,Clear,8.877402,12.5161,72.2174,4.956834199999999,140,956,1096
23,2011,Jan,winter,Mist,7.414153,9.3125,60.375,12.541864,42,1459,1501
24,2011,Feb,winter,Mist,10.66,12.72085,77.5417,17.708636,72,1454,1526
25,2011,Feb,winter,Mist,8.663464,11.429350000000001,58.521699999999996,8.565213,88,1620,1708
26,2011,Feb,winter,Mist,9.566653,12.152899999999999,92.91669999999999,10.792293,100,905,1005
27,2011,Feb,winter,Clear,11.719153,14.58355,56.833299999999994,9.5006,354,1269,1623
28,2011,Feb,winter,Clear,11.138347,15.1829,73.83330000000001,3.0423561,120,1592,1712
29,2011,Feb,winter,Clear,9.054153,9.9123,53.7917,24.25065,64,1466,1530
30,2011,Feb,winter,Clear,7.752731000000001,10.67545,50.6364,7.272849999999999,149,1597,1746
31,2011,Feb,winter,Clear,9.1225,11.6477,54.4167,13.625589,288,1184,1472
32,2011,Feb,winter,Clear,12.977402000000001,16.20565,45.7391,17.479160999999998,397,1192,1589
33,2011,Feb,winter,Clear,17.015,19.9175,37.583299999999994,27.999836,208,1705,1913
34,2011,Feb,winter,Clear,13.048701000000001,15.809999999999999,42.3478,16.869996999999998,218,1897,2115
35,2011,Feb,winter,Clear,17.869153,21.4329,50.5,15.416968,259,2216,2475
36,2011,Feb,winter,Clear,21.388347,25.599149999999998,51.6667,17.749975000000003,579,2348,2927
37,2011,Feb,winter,Clear,16.365847,19.5702,18.7917,34.000021,532,1103,1635
38,2011,Feb,winter,Mist,12.436653000000002,14.203750000000001,60.5,20.625682,195,912,1107
39,2011,Feb,winter,Clear,7.471102,9.30165,57.7778,13.110761,74,1376,1450
40,2011,Feb,winter,Clear,9.091299,12.28585,42.3043,6.3055710000000005,139,1778,1917
41,2011,Feb,winter,Mist,12.121732000000002,14.459549999999998,69.7391,16.783231999999998,100,1707,1807
42,2011,Feb,winter,Mist,14.938268,17.52305,71.2174,23.218113,120,1341,1461
43,2011,Feb,winter,Clear,11.5825,14.1096,53.7917,12.500257,424,1545,1969
44,2011,Feb,winter,Clear,14.082598,17.55545,68,8.391615999999999,694,1708,2402
45,2011,Feb,winter,Mist,16.698193,20.005899999999997,87.63640000000001,19.408962,81,1365,1446
46,2011,Mar,winter,Clear,10.933347,13.19395,53.5,14.500475,137,1714,1851
47,2011,Mar,winter,Clear,13.735000000000001,16.00355,44.9583,20.624811,231,1903,2134
48,2011,Mar,winter,Mist,15.750846999999998,18.93895,78.91669999999999,16.875357,640,1437,2077
49,2011,Mar,winter,Mist,12.129153,14.3304,77.5417,14.750050000000002,191,1700,1891
50,2011,Mar,winter,Light Precip,15.952731,19.2834,0,17.545759,46,577,623
51,2011,Mar,winter,Mist,12.977402000000001,15.25,64.95649999999999,15.60899,247,1730,1977
52,2011,Mar,winter,Clear,13.495847,16.287499999999998,59.458299999999994,14.791924999999999,724,1408,2132
53,2011,Mar,winter,Clear,15.758268000000001,19.004550000000002,52.73910000000001,18.130468,982,1435,2417
54,2011,Mar,winter,Mist,13.013031,15.908900000000001,65.5652,12.348703,289,1767,2056
55,2011,Mar,winter,Mist,14.973897000000001,18.3465,77.65220000000001,13.608839,321,1871,2192
56,2011,Mar,winter,Clear,17.015,20.51665,60.291700000000006,14.041792999999998,424,2320,2744
57,2011,Mar,winter,Clear,19.3725,23.32625,37.9167,24.667189,1424,1693,3117
58,2011,Mar,winter,Clear,13.6325,16.287499999999998,47.375,13.917307,1047,1424,2471
59,2011,Mar,spring,Clear,18.108347,22.0321,62.4583,15.125250000000001,460,2243,2703
60,2011,Mar,spring,Mist,14.225237,16.89695,83.9565,15.695487,203,1918,2121
61,2011,Mar,spring,Mist,11.684999999999999,13.541649999999999,80.58330000000001,16.333729,166,1699,1865
62,2011,Mar,spring,Clear,10.830846999999999,12.8156,49.5,15.458575000000002,300,1910,2210
63,2011,Mar,spring,Clear,10.899153,12.87855,39.4167,14.041257,981,1515,2496
64,2011,Mar,spring,Mist,10.374763000000002,12.51695,49.3913,12.348099999999999,472,1221,1693
65,2011,Mar,spring,Clear,10.838268000000001,12.878700000000002,30.2174,14.217668,222,1806,2028
66,2011,Mar,spring,Clear,12.4025,14.6454,31.4167,15.208732,317,2108,2425
67,2011,Mar,spring,Mist,12.299999999999999,14.8675,64.6667,11.583495999999998,168,1368,1536
68,2011,Mar,spring,Light Precip,11.001653,12.87875,91.8333,14.582282000000001,179,1506,1685
69,2011,Apr,spring,Mist,12.299999999999999,14.172699999999999,68.625,17.333436,307,1920,2227
70,2011,Apr,spring,Mist,12.915000000000001,15.78185,65.375,13.208782,898,1354,2252
71,2011,Apr,spring,Mist,16.980847,19.9175,64.2083,26.000488999999998,167,1628,1795
72,2011,Apr,spring,Clear,16.024153,19.3804,47.0833,17.625221,413,2395,2808
73,2011,Apr,spring,Clear,17.9375,21.684800000000003,60.291700000000006,10.874904,571,2570,3141
74,2011,Apr,spring,Mist,13.769153,16.223950000000002,83.625,15.208464,172,1299,1471
75,2011,Apr,spring,Mist,14.0425,17.07645,87.75,8.916561,879,1576,2455
76,2011,Apr,spring,Mist,17.493347,21.33685,85.75,9.833389,1188,1707,2895
77,2011,Apr,spring,Mist,24.421732,28.260849999999998,71.6956,21.739758,855,2493,3348
78,2011,Apr,spring,Mist,20.6025,24.6527,73.9167,18.416892999999998,257,1777,2034
79,2011,Apr,spring,Mist,16.912499999999998,20.864150000000002,81.91669999999999,16.791338999999997,209,1953,2162
80,2011,Apr,spring,Clear,19.1675,23.1371,54.041700000000006,7.4169,529,2738,3267
81,2011,Apr,spring,Clear,18.313347,22.09565,67.125,15.167124999999999,642,2484,3126
82,2011,Apr,spring,Light Precip,17.664153000000002,21.2746,88.83330000000001,22.834136,121,674,795
83,2011,Apr,spring,Clear,21.0125,25.1573,54.25,10.958988999999999,669,2760,3429
84,2011,Apr,spring,Mist,20.739152999999998,24.4629,66.5833,10.584057,409,2795,3204
85,2011,Apr,spring,Clear,24.395,28.2196,61.4167,16.208975,613,3331,3944
86,2011,Apr,spring,Mist,13.803347,16.0977,72.9583,14.707906999999999,177,1506,1683
87,2011,Apr,spring,Mist,18.86,22.50605,88.79169999999999,15.458575000000002,1462,2574,4036
88,2011,Apr,spring,Mist,23.848347,27.58815,81.08330000000001,12.875725000000001,1710,2481,4191
89,2011,Apr,spring,Mist,25.419999999999998,28.7571,83.54169999999999,20.917399999999997,547,3325,3872
90,2011,Apr,spring,Mist,25.317500000000003,28.946450000000002,70.08330000000001,21.500836000000003,569,3489,4058
91,2011,Apr,spring,Clear,20.91,24.87315,45.7083,16.084221,878,3717,4595
92,2011,Apr,spring,Clear,19.3725,23.201050000000002,50.3333,15.750025,1965,3347,5312
93,2011,May,spring,Mist,18.518347,22.4102,76.2083,7.125718,1138,2213,3351
94,2011,May,spring,Mist,16.980847,20.2325,73.70830000000001,22.042732,255,2378,2633
95,2011,May,spring,Clear,18.825847,22.09585,44.4167,19.791263999999998,614,3819,4433
96,2011,May,spring,Clear,19.645847,23.70585,59,15.292482,894,3714,4608
97,2011,May,spring,Clear,21.32,25.63105,54.125,10.750150000000001,1612,3102,4714
98,2011,May,spring,Clear,21.661653,25.946649999999998,63.1667,5.0007125,1401,2932,4333
99,2011,May,spring,Clear,21.8325,26.13605,48.9167,7.749956999999999,694,4109,4803
100,2011,May,spring,Clear,22.2425,26.419999999999998,63.29169999999999,8.083014,550,3632,4182
101,2011,May,spring,Clear,21.935000000000002,26.16815,74.75,12.707689,695,4169,4864
102,2011,May,spring,Mist,23.0625,26.8,86.70830000000001,10.249593,1582,2971,4553
103,2011,May,spring,Mist,23.028347,26.926450000000003,83.7917,18.582718,678,3445,4123
104,2011,May,spring,Mist,22.55,26.3579,87,13.499964,536,3319,3855
