RegionID,SizeRank,RegionName,RegionType,StateName,median_sale_price,MetroName_Zillow,CBSAName,cbsa,geoid,name,median_income
102001,0,United States,Country,NA,254000,NA,NA,NA,NA,NA,NA
394913,1,"New York, NY",Msa,NY,430000,"New York, NY","New York-Newark-Jersey City, NY-NJ-PA",35620,310M400US35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",78478
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,701000,"Los Angeles, CA","Los Angeles-Long Beach-Anaheim, CA",31080,310M400US31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area",72563
394463,3,"Chicago, IL",Msa,IL,234600,"Chicago, IL","Chicago-Naperville-Elgin, IL-IN-WI",16980,310M400US16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",70760
394514,4,"Dallas-Fort Worth, TX",Msa,TX,267000,"Dallas, TX","Dallas-Fort Worth-Arlington, TX",19100,310M400US19100,"Dallas-Fort Worth-Arlington, TX Metro Area",69445
394974,5,"Philadelphia, PA",Msa,PA,244900,"Philadelphia, PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,310M400US37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",70747
394692,6,"Houston, TX",Msa,TX,236950,"Houston, TX","Houston-The Woodlands-Sugar Land, TX",26420,310M400US26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",65394
395209,7,"Washington, DC",Msa,DC,408500,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,310M400US47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",102180
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,340000,"Miami, FL","Miami-Fort Lauderdale-West Palm Beach, FL",33100,310M400US33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",56328
394347,9,"Atlanta, GA",Msa,GA,249900,"Atlanta, GA","Atlanta-Sandy Springs-Roswell, GA",12060,310M400US12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",69464
394404,10,"Boston, MA",Msa,MA,478500,"Boston, MA","Boston-Cambridge-Newton, MA-NH",14460,310M400US14460,"Boston-Cambridge-Newton, MA-NH Metro Area",88711
395057,11,"San Francisco, CA",Msa,CA,770000,"San Francisco, CA","San Francisco-Oakland-Hayward, CA",41860,310M400US41860,"San Francisco-Oakland-Hayward, CA Metro Area",107898
394532,12,"Detroit, MI",Msa,MI,181900,"Detroit, MI","Detroit-Warren-Dearborn, MI",19820,310M400US19820,"Detroit-Warren-Dearborn, MI Metro Area",60513
395025,13,"Riverside, CA",Msa,CA,380000,"Riverside, CA","Riverside-San Bernardino-Ontario, CA",40140,310M400US40140,"Riverside-San Bernardino-Ontario, CA Metro Area",65671
394976,14,"Phoenix, AZ",Msa,AZ,300000,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",38060,310M400US38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",64427
395078,15,"Seattle, WA",Msa,WA,509950,"Seattle, WA","Seattle-Tacoma-Bellevue, WA",42660,310M400US42660,"Seattle-Tacoma-Bellevue, WA Metro Area",87910
394865,16,"Minneapolis-St Paul, MN",Msa,MN,274500,"Minneapolis, MN","Minneapolis-St. Paul-Bloomington, MN-WI",33460,310M400US33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",79578
395056,17,"San Diego, CA",Msa,CA,640000,"San Diego, CA","San Diego-Carlsbad, CA",41740,310M400US41740,"San Diego-Carlsbad, CA Metro Area",79079
395121,18,"St. Louis, MO",Msa,MO,185000,"Saint Louis, MO","St. Louis, MO-IL",41180,310M400US41180,"St. Louis, MO-IL Metro Area",62790
395148,19,"Tampa, FL",Msa,FL,232000,"Tampa, FL","Tampa-St. Petersburg-Clearwater, FL",45300,310M400US45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",54912
394358,20,"Baltimore, MD",Msa,MD,290000,"Baltimore, MD","Baltimore-Columbia-Towson, MD",12580,310M400US12580,"Baltimore-Columbia-Towson, MD Metro Area",80469
394530,21,"Denver, CO",Msa,CO,448900,"Denver, CO","Denver-Aurora-Lakewood, CO",19740,310M400US19740,"Denver-Aurora-Lakewood, CO Metro Area",79478
394982,22,"Pittsburgh, PA",Msa,PA,157000,"Pittsburgh, PA","Pittsburgh, PA",38300,310M400US38300,"Pittsburgh, PA Metro Area",59710
394998,23,"Portland, OR",Msa,OR,410000,"Portland, OR","Portland-Vancouver-Hillsboro, OR-WA",38900,310M400US38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",75599
394458,24,"Charlotte, NC",Msa,NC,250000,"Charlotte, NC","Charlotte-Concord-Gastonia, NC-SC",16740,310M400US16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",62068
395045,25,"Sacramento, CA",Msa,CA,415000,"Sacramento, CA","Sacramento--Roseville--Arden-Arcade, CA",40900,310M400US40900,"Sacramento--Roseville--Arden-Arcade, CA Metro Area",73142
395055,26,"San Antonio, TX",Msa,TX,226500,"San Antonio, TX","San Antonio-New Braunfels, TX",41700,310M400US41700,"San Antonio-New Braunfels, TX Metro Area",57379
394943,27,"Orlando, FL",Msa,FL,265000,"Orlando, FL","Orlando-Kissimmee-Sanford, FL",36740,310M400US36740,"Orlando-Kissimmee-Sanford, FL Metro Area",58610
