site,block,warming_treatment,plot_id,species,plant_id,phylo,year,doy,photosyn,gs,ci,soil_water,tleaf,VPG,percent_stomatal_limitation,Agmax,Vcmax25
cfc,d,ambient,d1,acesa,24,angio,2009,166,3.865,0.076550000000000007,297.5,0.20407825,31.84,2.547216483,0.652104988,11.10967352,15.2324089
cfc,d,ambient,d1,poptr,84,angio,2009,166,7.425530058,0.159632148,300.8718421,0.20407825,30.07921028,1.866559273,0.631395877,20.145,28.97812485
cfc,d,warmed,d3,abiba,245,gymno,2011,236,6.184631787,0.05582894,182.2971523,0.181352125,24.53299713,1.530065713,0.46855021,11.63728334,39.46740729
cfc,d,warmed,d3,abiba,250,gymno,2011,210,7.840777127,NA,NA,0.182537125,26.72538503,1.284291849,0.326236468,11.63728334,NA
cfc,d,warmed,d3,aceru,255,angio,2009,162,3.978745828,0.054185126,263.1716577,0.15668425,25.9246877,2.253058642,0.675350158,12.25549903,17.51244372
cfc,d,warmed,d3,aceru,259,angio,2011,236,14.0288778,0.197801407,252.2674367,0.181352125,25.00882213,1.716276453,-0.144700658,12.25549903,64.24255635
cfc,d,warmed,d3,aceru,260,angio,2011,210,8.38,0.092533333,225.6666667,0.182537125,29.45666667,2.727593489,0.316225314,12.25549903,42.75486729
cfc,d,warmed,d3,aceru,261,angio,2011,167,10.85590697,0.1784892,276.650279,0.158986125,19.82616807,1.170848144,0.114201148,12.25549903,45.6449748
cfc,d,warmed,d3,aceru,262,angio,2009,187,3.033605047,0.019598593,134.9422498,0.099085625,29.89458942,2.553157849,0.752469888,12.25549903,27.76803357
cfc,d,warmed,d3,aceru,263,angio,2009,223,12.0202643,0.252720482,290.7091073,0.210890375,32.07121658,1.997743712,0.019194218,12.25549903,48.34639742
cfc,d,warmed,d3,aceru,264,angio,2010,165,5.605859511,0.156681778,326.1256219,0.192325625,22.400807060000002,1.32478859,0.54258415,12.25549903,20.41933424
cfc,d,warmed,d3,acesa,265,angio,2011,236,8.28718591,0.085795643,220.2327593,0.181352125,23.5933037,1.73522608,0.254056756,11.10967352,43.32591739
cfc,d,warmed,d3,acesa,266,angio,2009,166,9.62,0.0943,202,0.13483025,34.745,3.315947996,0.134087966,11.10967352,54.96729113
cfc,d,warmed,d3,acesa,267,angio,2009,223,7.566734618,0.111620789,264.5625599,0.210890375,32.71474457,2.378159084,0.318905762,11.10967352,33.14286451
cfc,d,warmed,d3,acesa,272,angio,2011,167,2.980448053,0.057992587,304.5199587,0.158986125,19.16732917,1.3125542079999999,0.731724965,11.10967352,11.51001318
cfc,d,warmed,d3,acesa,273,angio,2011,209,7.366666667,0.0938,243,0.1909115,35.78666667,3.033371135,0.336914208,11.10967352,34.9596252
cfc,d,warmed,d3,betpa,277,angio,2009,162,22.23333333,0.359,255.3333333,0.15668425,24.49666667,1.312695597,-0.052110995,21.13211766,100.6607683
cfc,d,warmed,d3,betpa,278,angio,2011,167,16.3299918,0.222656153,249.413534,0.158986125,18.35330963,1.034528879,0.227243002,21.13211766,75.59061076
cfc,d,warmed,d3,betpa,279,angio,2010,204,6.16,0.033566667,82.96666667,0.122971,33.16333333,2.630106949,0.708500582,21.13211766,NA
cfc,d,warmed,d3,betpa,280,angio,2011,210,17.9558014,0.308020717,263.068025,0.182537125,31.25777627,2.131103793,0.150307523,21.13211766,79.06128836
cfc,d,warmed,d3,betpa,281,angio,2009,247,23.94262442,0.548973056,280.2410853,0.178176,26.79507542,1.327653364,-0.13299693,21.13211766,99.50413843
cfc,d,warmed,d3,betpa,283,angio,2009,187,6.166320038,0.037745245,119.06325030000001,0.099085625,25.91410128,1.952075129,0.708201509,21.13211766,66.92396868
cfc,d,warmed,d3,betpa,286,angio,2010,165,21.20966131,0.70644942,309.0786722,0.192325625,23.89220365,1.049529733,-0.003669469,21.13211766,80.86389937
cfc,d,warmed,d3,picgl,291,gymno,2011,210,13.45816587,NA,NA,0.182537125,24.63167953,1.498763377,0.169107474,16.19724024,NA
cfc,d,warmed,d3,picgl,294,gymno,2011,236,5.203531293,0.04826485,196.9089343,0.181352125,25.19987107,1.727962684,0.678739636,16.19724024,30.54485913
cfc,d,warmed,d3,pinba,301,gymno,2011,237,10.67558857,0.160654063,204.714377,0.17662675,23.8263054,1.370900896,0.431594932,18.7816562,60.15271691
