symbol,name,sector,price,price_per_earnings,dividend_yield,dividend,earnings_per_share,low_52wk,high_52wk,market_cap,ebitda,price_per_sales
MMM,3M Company,Industrials,222.89,24.31,2.3328617,5.19971544313,7.92,259.77,175.49,138721055226,9048000000,4.3902707
AOS,A.O. Smith Corp,Industrials,60.24,27.76,1.1479592,0.69153062208,1.7,68.39,48.925,10783419933,601000000,3.5754826
ABT,Abbott Laboratories,Health Care,56.27,22.51,1.9089824,1.07418439648,0.26,64.6,42.28,102121042306,5744000000,3.7404804
ABBV,AbbVie Inc.,Health Care,108.48,19.41,2.4995599,2.71152257952,3.29,125.86,60.05,181386347059,10310000000,6.291571
ACN,Accenture plc,Information Technology,150.51,25.47,1.7144699,2.58044864649,5.44,162.6,114.82,98765855553,5643228000,2.604117
ATVI,Activision Blizzard,Information Technology,65.83,31.8,0.43190324,0.284321902892,1.28,74.945,38.93,52518668144,2704000000,10.59512
AYI,Acuity Brands Inc,Industrials,145.41,18.22,0.35118526,0.510658486566,7.43,225.36,142,6242377704,587800000,1.7953473
ADBE,Adobe Systems Inc,Information Technology,185.16,52.31,0,0,3.39,204.45,114.451,94550214268,2538040000,13.092818
AAP,Advance Auto Parts,Consumer Discretionary,109.63,19.54,0.21832074,0.23934502726200002,6.19,169.55,78.81,8123611867,853941000,1.1301061
AMD,Advanced Micro Devices Inc,Information Technology,11.22,187,0,0,0.03,15.65,9.7,11191663795,339000000,2.1091955
AES,AES Corp,Utilities,10.06,9.96,4.961832,0.49916029920000005,-1.72,12.05,10,6920851212,3001000000,0.65951383
AET,Aetna Inc,Health Care,178,18.11,1.101989,1.9615404200000004,5.75,194.4,119.51,59197016353,4139000000,0.9923546
AMG,Affiliated Managers Group Inc,Financials,179.11,12.24,0.6387395,1.14404631845,12.07,216.995,148.81,10442174371,1261400000,4.591235
AFL,AFLAC Inc,Financials,83.25,12.24,2.4299066,2.0228972444999997,11.01,91.73,68.8,33422948000,0,1.5429344
A,Agilent Technologies Inc,Health Care,65.05,27.45,0.8756979,0.56964148395,2.1,75,49.23,21984606918,1094000000,6.493563
APD,Air Products & Chemicals Inc,Materials,152.8,24.22,2.7811136,4.2495415808,13.66,175.17,133.6301,34638387128,2542500000,4.1163683
AKAM,Akamai Technologies Inc,Information Technology,62.49,32.55,0,0,1.79,69.56,44.65,10906904066,789517000,5.8546524
ALK,Alaska Air Group Inc,Industrials,64.04,9.66,1.9928383,1.27621364732,8.28,101.43,59.25,7903173734,1665000000,0.9801092
ALB,Albemarle Corp,Materials,105.18,26.03,1.2004126,1.26259397268,5.66,144.99,90.35,11782151266,686030000,5.3666205
ARE,Alexandria Real Estate Equities Inc,Real Estate,114.58,19.03,3.0262272,3.46745112576,1.57,134.37,106.89,12043374429,0,10.492155
ALXN,Alexion Pharmaceuticals,Health Care,108.47,22.18,0,0,1.77,149.34,96.18,26172439795,1072000000,9.720562
ALGN,Align Technology,Health Care,220.71,56.59,0,0,2.84,287.32,92.61,18788041378,380326000,13.138819
ALLE,Allegion,Industrials,77.32,21.07,0.8004002,0.61886943464,2.37,89.81,66.72,7599609494,531800000,4.265232
AGN,"Allergan, Plc",Health Care,164.2,10.65,1.643289,2.6982805379999997,38.35,256.8,160.07,56668833898,-2888100000,4.820115
ADS,Alliance Data Systems,Information Technology,240.6,13.02,0.9240122,2.2231733532,14.13,278.33,209,13632608582,2143200000,1.7282298
LNT,Alliant Energy Corp,Utilities,37.14,19.86,3.5733333,1.32713598762,1.65,45.55,36.84,8670163500,1168400000,3.4331481
ALL,Allstate Corp,Financials,90.06,13.26,1.5278208,1.37595541248,4.68,105.36,77.73,34759468905,0,1.2085556
GOOGL,Alphabet Inc Class A,Information Technology,1007.71,31.48,0,0,22.27,1198,824.3,733823966137,34217000000,6.801692
GOOG,Alphabet Inc Class C,Information Technology,1001.52,40.29,0,0,22.27,1186.89,803.1903,728535558140,32714000000,6.772653
MO,Altria Group Inc,Consumer Staples,64.05,18.89,3.9526875,2.5316963437499997,5.31,77.79,60.01,126985101434,10773000000,4.945682
AMZN,Amazon.com Inc,Consumer Discretionary,1350.5,296.16,0,0,6.16,1498,812.5,685873374731,16132000000,3.927053
