player,opponent,aces,fault_err,aces_opponent,fault_err_opponent,won
P Kvitova,M Doi,3,33,1,28,1
C Wozniacki,Y Duan,2,14,0,50,1
D Pfizenmaier,V Azarenka,3,31,1,11,0
O Rogowska,S Errani,1,44,0,10,0
V Duval,S Stosur,0,42,9,66,1
A Ivanovic,A Tatishvili,2,19,0,27,1
J Goerges,C McHale,3,37,1,18,0
V Lepchenko,A Dulgheru,2,57,0,52,0
S Kuznetsova,M Burdette,5,24,0,36,1
B Jovanovski,A Petkovic,2,28,4,45,1
S Peng,Y Meusburger,3,30,0,21,1
A Cornet,M Koehler,0,24,1,55,1
H Watson,S Halep,1,68,5,48,0
K Flipkens,V Williams,1,25,1,25,0
A.Radwanska,S.Soler-Espinosa,3,13,1,23,1
S Williams,F Schiavone,1,8,0,26,1
O Govortsova,N Li,3,21,6,14,0
M Minella,S Stephens,1,39,6,61,0
J Jankovic,M Keys,1,23,4,33,1
L Robson,L Dominguez Lino,6,38,4,26,1
J Hampton,L Arruabarrena,3,35,1,22,1
V Dushevina,S Lisicki,1,34,5,36,0
P Ormaechea,K Date-Krumm,2,40,0,46,1
K Pliskova,E Bouchard,6,55,5,31,0
L Hradecka,A Kerber,3,38,0,7,0
L Davis,C Suarez Navarro,0,30,1,13,0
K Mladenovic,A Medina Garrigues,8,42,1,31,1
